,lon,lat,city,state
261,-112.2493671,43.7640903,Jefferson County,ID
204,-112.1859866,33.5386523,Glendale,AZ
229,-112.1859866,33.5386523,Glendale,AZ
1245,-112.1859866,33.5386523,Glendale,AZ
65,-112.0740373,33.4483771,Phoenix,AZ
168,-112.0740373,33.4483771,Phoenix,AZ
257,-112.0740373,33.4483771,Phoenix,AZ
291,-112.0740373,33.4483771,Phoenix,AZ
500,-112.0740373,33.4483771,Phoenix,AZ
534,-112.0740373,33.4483771,Phoenix,AZ
645,-112.0740373,33.4483771,Phoenix,AZ
979,-112.0740373,33.4483771,Phoenix,AZ
1038,-112.0740373,33.4483771,Phoenix,AZ
1132,-112.0740373,33.4483771,Phoenix,AZ
1143,-112.0740373,33.4483771,Phoenix,AZ
1146,-112.0740373,33.4483771,Phoenix,AZ
1353,-112.0740373,33.4483771,Phoenix,AZ
1361,-112.0740373,33.4483771,Phoenix,AZ
1398,-112.0740373,33.4483771,Phoenix,AZ
1593,-112.0740373,33.4483771,Phoenix,AZ
1612,-112.0740373,33.4483771,Phoenix,AZ
1626,-112.0740373,33.4483771,Phoenix,AZ
1658,-112.0740373,33.4483771,Phoenix,AZ
1660,-112.0740373,33.4483771,Phoenix,AZ
1676,-112.0740373,33.4483771,Phoenix,AZ
19,-112.0646657,41.0893878,Syracuse,UT
43,-112.0476423,33.0581063,Maricopa,AZ
1209,-112.0339645,43.4916514,Idaho Falls,ID
1570,-112.0260538,41.1107771,Clearfield,UT
218,-112.0098791,34.7391876,Cottonwood,AZ
397,-112.0098791,34.7391876,Cottonwood,AZ
1428,-112.006882,40.3141169,Eagle Mountain,UT
1125,-111.9738304,41.223,Ogden,UT
86,-111.9400054,33.4255104,Tempe,AZ
87,-111.9400054,33.4255104,Tempe,AZ
159,-111.9400054,33.4255104,Tempe,AZ
984,-111.9400054,33.4255104,Tempe,AZ
1547,-111.9400054,33.4255104,Tempe,AZ
649,-111.9391031,40.6096698,West Jordan,UT
46,-111.9260519,33.4941704,Scottsdale,AZ
1548,-111.9260519,33.4941704,Scottsdale,AZ
17,-111.8910474,40.7607793,Salt Lake City,UT
725,-111.8910474,40.7607793,Salt Lake City,UT
1033,-111.8910474,40.7607793,Salt Lake City,UT
1312,-111.8754907,40.6868914,Milcreek,UT
32,-111.8638226,40.5246711,Draper,UT
7,-111.8412502,33.3061605,Chandler,AZ
1303,-111.8412502,33.3061605,Chandler,AZ
563,-111.8338359,41.7369803,Logan,UT
323,-111.8314724,33.4151843,Mesa,AZ
490,-111.8314724,33.4151843,Mesa,AZ
912,-111.8314724,33.4151843,Mesa,AZ
1034,-111.8314724,33.4151843,Mesa,AZ
1079,-111.8314724,33.4151843,Mesa,AZ
1589,-111.8314724,33.4151843,Mesa,AZ
1690,-111.8085357,41.7390791,Logan Canyon,UT
57,-111.7924237,43.8231096,Rexburg,ID
601,-111.789027,33.3528264,Gilbert,AZ
1164,-111.789027,33.3528264,Gilbert,AZ
118,-111.6585337,40.2338438,Provo,UT
655,-111.654923,40.114955,Spanish Fork,UT
1321,-111.654923,40.114955,Spanish Fork,UT
1370,-111.651302,35.1982836,Flagstaff,AZ
1375,-111.651302,35.1982836,Flagstaff,AZ
1520,-111.651302,35.1982836,Flagstaff,AZ
1601,-111.5495777,33.4150485,Apache Junction,AZ
1322,-111.3873431,33.0314508,Florence,AZ
116,-111.2224422,32.436381,Marana,AZ
150,-110.926479,32.2217429,Tucson,AZ
571,-110.926479,32.2217429,Tucson,AZ
662,-110.926479,32.2217429,Tucson,AZ
930,-110.926479,32.2217429,Tucson,AZ
1035,-110.926479,32.2217429,Tucson,AZ
1396,-110.926479,32.2217429,Tucson,AZ
1511,-110.926479,32.2217429,Tucson,AZ
1554,-110.926479,32.2217429,Tucson,AZ
1597,-110.926479,32.2217429,Tucson,AZ
344,-110.9106656,33.0570085,Kearny,AZ
1237,-110.6973571,35.0241873,Winslow,AZ
110,-110.6309289,32.5997933,San Manuel,AZ
993,-110.5599556,45.6614105,Livingston,MT
746,-110.2772856,31.5455001,Sierra Vista,AZ
331,-109.9887605,40.299403,Roosevelt,UT
301,-109.9284084,31.4481547,Bisbee,AZ
66,-109.3280282,33.0508859,Morenci,AZ
379,-109.291475,34.1111581,Eagar,AZ
890,-109.291475,34.1111581,Eagar,AZ
212,-109.0603825,36.6039938,Red Valley,AZ
173,-109.0145613,40.243578,Dinosaur,CO
1540,-108.7425843,35.5280783,Gallup,NM
365,-108.5506486,39.0638705,Grand Junction,CO
1653,-108.5506486,39.0638705,Grand Junction,CO
74,-108.5006904,45.7832856,Billings,MT
1175,-108.5006904,45.7832856,Billings,MT
16,-108.3015173,45.899401,Huntley,MT
1462,-108.0911535,32.8134085,Hanover,NM
1550,-107.8742831,48.3597197,Malta,MT
910,-107.7586404,32.2686981,Deming,NM
1230,-107.5823086,34.8963194,Pueblo of Laguna,NM
103,-107.5364443,39.5727585,New Castle,CO
1479,-107.3878172,35.0344872,Laguna Pueblo,NM
794,-107.2528069,33.1284047,Truth or Consequences,NM
990,-107.2386627,41.7910697,Rawlins,WY
1387,-106.8914159,34.0583995,Socorro,NM
562,-106.7636538,32.3199396,Las Cruces,NM
1617,-106.7636538,32.3199396,Las Cruces,NM
405,-106.7333599,34.806166,Los Lunas,NM
25,-106.6055534,35.0853336,Albuquerque,NM
334,-106.6055534,35.0853336,Albuquerque,NM
568,-106.6055534,35.0853336,Albuquerque,NM
852,-106.6055534,35.0853336,Albuquerque,NM
971,-106.6055534,35.0853336,Albuquerque,NM
1074,-106.6055534,35.0853336,Albuquerque,NM
1128,-106.6055534,35.0853336,Albuquerque,NM
1310,-106.6055534,35.0853336,Albuquerque,NM
1378,-106.6055534,35.0853336,Albuquerque,NM
1390,-106.6055534,35.0853336,Albuquerque,NM
1440,-106.6055534,35.0853336,Albuquerque,NM
21,-106.4850217,31.7618778,El Paso,TX
329,-106.4850217,31.7618778,El Paso,TX
371,-106.4850217,31.7618778,El Paso,TX
586,-106.4850217,31.7618778,El Paso,TX
1083,-106.4850217,31.7618778,El Paso,TX
1288,-106.4850217,31.7618778,El Paso,TX
1340,-106.4850217,31.7618778,El Paso,TX
513,-106.313081,42.866632,Casper,WY
1452,-106.313081,42.866632,Casper,WY
256,-106.1914141,35.0614358,Edgewood,NM
1644,-105.960265,32.8995325,Alamogordo,NM
642,-105.937799,35.6869752,Santa Fe,NM
1052,-105.937799,35.6869752,Santa Fe,NM
1006,-105.877212,33.6417408,Carrizozo,NM
129,-105.6588485,33.3672525,Ruidoso,NM
362,-105.6588485,33.3672525,Ruidoso,NM
1609,-105.6588485,33.3672525,Ruidoso,NM
1488,-105.5943388,39.0897928,Park County,CO
921,-105.5911007,41.3113669,Laramie,WY
956,-105.5730665,36.4072485,Taos,NM
369,-105.5022205,44.2910915,Gillette,WY
1145,-105.4786412,39.4060536,Bailey,CO
548,-105.3822069,42.7596897,Douglas,WY
1489,-105.3822069,42.7596897,Douglas,WY
51,-105.3571764,31.1745732,Sierra Blanca,TX
304,-105.2769348,39.9324862,Eldorado Springs,CO
560,-105.2705456,40.0149856,Boulder,CO
1374,-105.2705456,40.0149856,Boulder,CO
1670,-105.2705456,40.0149856,Boulder,CO
285,-105.2253316,38.4494063,Cañon City,CO
693,-105.0866504,39.9205411,Broomfield,CO
533,-105.084423,40.5852602,Fort Collins,CO
1065,-105.084423,40.5852602,Fort Collins,CO
1623,-105.084423,40.5852602,Fort Collins,CO
1308,-105.0813734,39.7047095,Lakewood,CO
1594,-105.0813734,39.7047095,Lakewood,CO
663,-105.0749801,40.3977612,Loveland,CO
941,-105.0555389,39.7744311,Mountain View,CO
1314,-105.0372046,39.8366528,Westminster,CO
1442,-105.0372046,39.8366528,Westminster,CO
1697,-105.0372046,39.8366528,Westminster,CO
61,-104.990251,39.7392358,Denver,CO
509,-104.990251,39.7392358,Denver,CO
883,-104.990251,39.7392358,Denver,CO
905,-104.990251,39.7392358,Denver,CO
1014,-104.990251,39.7392358,Denver,CO
1136,-104.990251,39.7392358,Denver,CO
1276,-104.990251,39.7392358,Denver,CO
1627,-104.990251,39.7392358,Denver,CO
1638,-104.990251,39.7392358,Denver,CO
391,-104.9811468,39.8961821,Northglenn,CO
1223,-104.9719243,39.8680412,Thornton,CO
1182,-104.8352628,37.9452861,Colorado City,CO
34,-104.8319195,39.7294319,Aurora,CO
165,-104.8319195,39.7294319,Aurora,CO
900,-104.8319195,39.7294319,Aurora,CO
937,-104.8319195,39.7294319,Aurora,CO
966,-104.8319195,39.7294319,Aurora,CO
1347,-104.8319195,39.7294319,Aurora,CO
825,-104.8213634,38.8338816,Colorado Springs,CO
848,-104.8213634,38.8338816,Colorado Springs,CO
1454,-104.8213634,38.8338816,Colorado Springs,CO
850,-104.8205283,39.9852617,Brighton,CO
526,-104.8202462,41.1399814,Cheyenne,WY
1645,-104.7613633,39.5186002,Parker,CO
445,-104.7091322,40.4233142,Greeley,CO
1349,-104.7091322,40.4233142,Greeley,CO
731,-104.7008056,38.682219,Fountain,CO
5,-104.6921874,40.3763701,Evans,CO
1149,-104.6921874,40.3763701,Evans,CO
59,-104.6091409,38.2544472,Pueblo,CO
1229,-104.6091409,38.2544472,Pueblo,CO
1423,-104.6091409,38.2544472,Pueblo,CO
569,-104.5230242,33.3942655,Roswell,NM
1238,-104.5230242,33.3942655,Roswell,NM
311,-104.5005407,37.1694632,Trinidad,CO
666,-104.4032962,32.8423345,Artesia,NM
1544,-104.4032962,32.8423345,Artesia,NM
415,-104.3232924,39.7383163,Strasburg,CO
1176,-104.2288375,32.4206736,Carlsbad,NM
706,-103.7651984,44.3522065,Lead,SD
737,-103.3485543,32.9440077,Lovington,NM
743,-103.2310149,44.0805434,Rapid City,SD
1157,-103.2310149,44.0805434,Rapid City,SD
1115,-103.1935127,32.1131814,Jal,NM
902,-103.1598876,31.7512396,Wink,TX
1154,-103.1462899,44.0624879,Rapid Valley,SD
441,-103.1360403,32.7026116,Hobbs,NM
609,-103.1360403,32.7026116,Hobbs,NM
680,-103.1360403,32.7026116,Hobbs,NM
294,-102.9774497,41.1448219,Sidney,NE
769,-102.498757,31.8423472,West Odessa,TX
55,-102.37796,33.5873164,Levelland,TX
604,-102.3676431,31.8456816,Odessa,TX
1181,-102.3676431,31.8456816,Odessa,TX
414,-102.0779146,31.9973456,Midland,TX
911,-102.0740255,41.0630102,Big Springs,NE
749,-101.8312969,35.2219971,Amarillo,TX
960,-101.8312969,35.2219971,Amarillo,TX
1436,-101.8312969,35.2219971,Amarillo,TX
63,-101.7937669,33.1667601,Tahoka,TX
535,-101.0523773,39.3958369,Colby,KS
123,-100.8958674,29.3708857,Del Rio,TX
1078,-100.8534779,43.2327824,Rosebud,SD
1170,-100.7837392,46.8083268,Bismarck,ND
994,-100.4503797,32.2354051,Maryneal,TX
112,-99.4803241,27.5305671,Laredo,TX
844,-99.4803241,27.5305671,North Laredo,TX
1607,-99.3267702,38.8791783,Hays,KS
48,-99.154991,26.534403,Chapeno,TX
619,-99.1403189,30.0474332,Kerrville,TX
1045,-99.1403189,30.0474332,Kerrville,TX
439,-98.8208889,47.8805328,Wood Lake,ND
611,-98.7319703,29.7946641,Boerne,TX
1280,-98.6750379,30.7593452,Llano,TX
1284,-98.6286741,34.6295165,Cache,OK
429,-98.5721016,29.4200763,Bexar County,TX
26,-98.5464068,28.9180294,Jourdanton,TX
192,-98.4936282,29.4241219,San Antonio,TX
263,-98.4936282,29.4241219,San Antonio,TX
461,-98.4936282,29.4241219,San Antonio,TX
654,-98.4936282,29.4241219,San Antonio,TX
659,-98.4936282,29.4241219,San Antonio,TX
909,-98.4936282,29.4241219,San Antonio,TX
1025,-98.4936282,29.4241219,San Antonio,TX
1080,-98.4936282,29.4241219,San Antonio,TX
1155,-98.4936282,29.4241219,San Antonio,TX
1202,-98.4936282,29.4241219,San Antonio,TX
1383,-98.4936282,29.4241219,San Antonio,TX
1536,-98.4936282,29.4241219,San Antonio,TX
1701,-98.4936282,29.4241219,San Antonio,TX
770,-98.3959291,34.6035669,Lawton,OK
295,-98.3252932,26.2159066,Mission,TX
1138,-98.3252932,26.2159066,Mission,TX
493,-98.1633432,26.3017374,Edinburg,TX
669,-98.0297992,43.7094283,Mitchell,SD
1507,-97.9569845,34.7825721,Rush Springs,OK
322,-97.9364326,35.052565,Chickasha,OK
454,-97.9297743,38.0608445,Hutchinson,KS
1311,-97.8280575,29.6480061,Kingsbury,TX
455,-97.7972544,32.7592955,Weatherford,TX
867,-97.7972544,32.7592955,Weatherford,TX
870,-97.7972544,32.7592955,Weatherford,TX
1637,-97.7972544,32.7592955,Weatherford,TX
69,-97.7666999,33.4520535,Sunset,TX
53,-97.7430608,30.267153,Austin,TX
95,-97.7430608,30.267153,Austin,TX
380,-97.7430608,30.267153,Austin,TX
481,-97.7430608,30.267153,Austin,TX
482,-97.7430608,30.267153,Austin,TX
511,-97.7430608,30.267153,Austin,TX
1093,-97.7430608,30.267153,Austin,TX
1300,-97.7430608,30.267153,Austin,TX
1655,-97.7430608,30.267153,Austin,TX
1677,-97.7430608,30.267153,Austin,TX
98,-97.7258626,33.7867684,Nocona,TX
672,-97.6836384,32.9659566,Springtown,TX
1251,-97.6699996,29.8849441,Lockhart,TX
1282,-97.6642087,38.3708415,McPherson,KS
1636,-97.6597376,31.0835102,Harker Heights,TX
8,-97.6044806,38.6802826,Assaria,KS
403,-97.5458565,32.8951262,Azle,TX
1169,-97.5458565,32.8951262,Azle,TX
91,-97.5164276,35.4675602,Oklahoma City,OK
139,-97.5164276,35.4675602,Oklahoma City,OK
169,-97.5164276,35.4675602,Oklahoma City,OK
276,-97.5164276,35.4675602,Oklahoma City,OK
476,-97.5164276,35.4675602,Oklahoma City,OK
484,-97.5164276,35.4675602,Oklahoma City,OK
543,-97.5164276,35.4675602,Oklahoma City,OK
998,-97.5164276,35.4675602,Oklahoma City,OK
1379,-97.5164276,35.4675602,Oklahoma City,OK
1466,-97.5164276,35.4675602,Oklahoma City,OK
532,-97.4974838,25.9017472,Brownsville,TX
934,-97.4878023,34.2331475,Healdton,OK
386,-97.4780954,35.6528323,Edmond,OK
1152,-97.4314267,38.1383437,Hesston,KS
6,-97.4253185,35.878937,Guthrie,OK
756,-97.3967019,35.4495065,Midwest City,OK
884,-97.396381,27.8005828,Corpus Christi,TX
1071,-97.3639068,32.8601275,Saginaw,TX
1651,-97.342782,31.0982344,Temple,TX
42,-97.3307658,32.7554883,Fort Worth,TX
56,-97.3307658,32.7554883,Fort Worth,TX
303,-97.3307658,32.7554883,Fort Worth,TX
350,-97.3307658,32.7554883,Fort Worth,TX
566,-97.3307658,32.7554883,Fort Worth,TX
1106,-97.3307658,32.7554883,Fort Worth,TX
1200,-97.3307658,32.7554883,Fort Worth,TX
3,-97.330053,37.6871761,Wichita,KS
635,-97.330053,37.6871761,Wichita,KS
1641,-97.330053,37.6871761,Wichita,KS
1619,-97.3144625,33.6239966,Myra,TX
740,-97.2872402,33.1828974,Ponder,TX
88,-97.2155596,31.3865592,Lorena,TX
753,-97.1705678,32.8234621,Hurst,TX
603,-97.1466695,31.549333,Waco,TX
598,-97.1436254,34.1742611,Ardmore,OK
1056,-97.1416768,32.5631924,Mansfield,TX
939,-97.1330683,33.2148412,Denton,TX
587,-97.1080656,32.735687,Arlington,TX
938,-97.1080656,32.735687,Arlington,TX
126,-97.0819541,32.8370727,Euless,TX
1160,-97.0819541,32.8370727,Euless,TX
72,-97.0583681,36.1156071,Stillwater,OK
262,-97.0068393,35.275439,Pottawatomie County,OK
312,-97.0035982,28.8052674,Victoria,TX
914,-96.9488945,32.8140177,Irving,TX
1062,-96.9488945,32.8140177,Irving,TX
1620,-96.8645856,32.7362591,Oak Cliff,TX
279,-96.8570738,32.5896998,DeSoto,TX
406,-96.8350999,32.2619765,Ellis County,TX
1654,-96.8350999,32.2619765,Ellis County,TX
1191,-96.8291685,32.96179,Addison,TX
100,-96.7969879,32.7766642,Dallas,TX
491,-96.7969879,32.7766642,Dallas,TX
650,-96.7969879,32.7766642,Dallas,TX
715,-96.7969879,32.7766642,Dallas,TX
1040,-96.7969879,32.7766642,Dallas,TX
661,-96.76697,35.9850639,Cushing,OK
995,-96.7311034,43.5445959,Sioux Falls,SD
434,-96.7130521,32.6492999,Hutchins,TX
164,-96.6851982,40.8257625,Lincoln,NE
899,-96.6851982,40.8257625,Lincoln,NE
1474,-96.6851982,40.8257625,Lincoln,NE
1350,-96.6655688,34.8611959,Byng,OK
726,-96.6397822,33.1972465,McKinney,TX
332,-96.6388833,32.912624,Garland,TX
333,-96.6388833,32.912624,Garland,TX
1184,-96.6197416,37.8152985,Rosalia,KS
822,-96.5991593,32.7667955,Mesquite,TX
894,-96.5383228,32.6395776,Seagoville,TX
880,-96.5024916,33.8531568,Colbert,OK
1501,-96.4533193,32.4626396,Rosser,TX
837,-96.3952963,36.4142357,Hominy,OK
214,-96.2800864,34.568577,Coal County,OK
1459,-96.2571858,29.9502253,Bellville,TX
267,-96.2136136,35.9436968,Kellyville,OK
1698,-96.1600132,41.004443,Louisville,NE
274,-96.108891,36.1398102,Sand Springs,OK
38,-96.1008056,32.3665322,Mabank,TX
68,-95.9979883,41.2523634,Omaha,NE
133,-95.9979883,41.2523634,Omaha,NE
370,-95.9979883,41.2523634,Omaha,NE
456,-95.9979883,41.2523634,Omaha,NE
1059,-95.9979883,41.2523634,Omaha,NE
1265,-95.9979883,41.2523634,Omaha,NE
1367,-95.9979883,41.2523634,Omaha,NE
1656,-95.9979883,41.2523634,Omaha,NE
250,-95.992775,36.1539816,Tulsa,OK
1438,-95.992775,36.1539816,Tulsa,OK
1528,-95.992775,36.1539816,Tulsa,OK
1531,-95.992775,36.1539816,Tulsa,OK
1680,-95.992775,36.1539816,Tulsa,OK
395,-95.9832577,35.6795873,Okmulgee County,OK
865,-95.9832577,31.2152685,Leon County,TX
1076,-95.9566635,35.5145495,Schulter,OK
593,-95.9510661,29.7860643,Brookshire,TX
1465,-95.8998969,29.6931119,Fulshear,TX
1101,-95.8142885,32.1321367,Henderson County,TX
71,-95.8085623,29.5571825,Rosenberg,TX
697,-95.7697131,34.9334298,McAlester,OK
273,-95.6890185,39.0558235,Topeka,KS
1174,-95.6890185,39.0558235,Topeka,KS
400,-95.6307891,31.7621153,Palestine,TX
422,-95.6160549,30.0971621,Tomball,TX
1046,-95.5824846,35.2873206,Eufaula,OK
718,-95.555513,33.6609389,Paris,TX
1124,-95.4624548,33.6631622,Reno,TX
31,-95.4343859,29.0338575,Lake Jackson,TX
1689,-95.4171601,30.0799405,Spring,TX
698,-95.3988291,29.0246906,Clute,TX
1566,-95.3776663,45.8848164,Alexandria,MN
75,-95.3698028,29.7604267,Houston,TX
125,-95.3698028,29.7604267,Houston,TX
156,-95.3698028,29.7604267,Houston,TX
283,-95.3698028,29.7604267,Houston,TX
448,-95.3698028,29.7604267,Houston,TX
489,-95.3698028,29.7604267,Houston,TX
572,-95.3698028,29.7604267,Houston,TX
620,-95.3698028,29.7604267,Houston,TX
783,-95.3698028,29.7604267,Houston,TX
823,-95.3698028,29.7604267,Houston,TX
833,-95.3698028,29.7604267,Houston,TX
1142,-95.3698028,29.7604267,Houston,TX
1187,-95.3698028,29.7604267,Houston,TX
1188,-95.3698028,29.7604267,Houston,TX
1206,-95.3698028,29.7604267,Houston,TX
1207,-95.3698028,29.7604267,Houston,TX
1318,-95.3698028,29.7604267,Houston,TX
1391,-95.3698028,29.7604267,Houston,TX
1513,-95.3698028,29.7604267,Houston,TX
1705,-95.3698028,29.7604267,Houston,TX
40,-95.3696909,35.7478769,Muskogee,OK
1411,-95.3694116,35.9595442,Wagoner,OK
12,-95.3596617,28.9541368,Freeport,TX
1691,-95.3520876,32.8296216,Wood County,TX
925,-95.3169136,36.3084275,Pryor,OK
824,-95.2944129,36.1150237,Norwood,OK
1240,-95.1610438,30.2329914,Splendora,TX
306,-95.1441197,34.1237158,Rufe,OK
198,-95.1163261,30.805746,Onalaska,TX
244,-94.9774274,29.7355047,Baytown,TX
462,-94.969956,35.91537,Tahlequah,OK
1590,-94.969956,35.91537,Tahlequah,OK
230,-94.9271868,38.8108408,Gardner,KS
310,-94.8774554,36.8745146,Miami,OK
315,-94.7608801,35.6826766,Bunch,OK
52,-94.7404891,32.5007037,Longview,TX
657,-94.7404891,32.5007037,Longview,TX
1512,-94.7391045,34.0292764,Broken Bow,OK
407,-94.7363152,30.4471514,Fuqua,TX
1345,-94.6554874,31.6035129,Nacogdoches,TX
107,-94.6274636,39.114053,Kansas City,KS
